Item,Quantity,Price
dish6,5,85
dish9,12,45
dish7,7,55
dish10,12,85
dish4,9,85
dish3,5,40
dish9,1,80
dish2,7,80
dish3,3,85
dish6,8,30
dish5,10,80
dish2,10,60
dish1,4,30
dish6,2,85
dish4,9,85
dish9,5,65
dish8,9,40
dish10,5,85
dish1,1,85
dish5,12,80
dish3,3,65
dish9,1,30
dish8,5,65
dish2,2,50
dish7,10,60
dish5,5,80
dish1,1,40
dish6,8,45
dish1,3,45
dish7,12,90
dish9,7,90
dish2,10,30
dish8,12,45
dish1,1,40
dish7,2,90
dish6,5,50
dish2,8,45
dish7,2,80
dish10,4,40
dish2,4,30
dish3,8,90
dish4,2,50
dish1,7,50
dish4,10,85
dish9,3,50
dish1,5,90
dish5,7,60
dish2,9,60
dish1,8,80
dish2,3,40
dish4,1,85
dish6,9,30
dish8,4,40
dish1,3,90
dish6,4,90
dish5,12,50
dish2,2,90
dish5,2,80
dish9,4,85
dish9,12,40
dish3,5,65
dish2,4,80
dish1,2,50
dish5,3,65
dish2,7,45
dish1,12,65
dish4,3,60
dish8,2,30
dish9,7,60
dish9,8,40
dish3,10,40
dish10,1,40
dish10,9,90
dish7,4,50
dish10,1,90
dish8,12,80
dish2,10,50
dish8,3,30
dish1,2,40
dish2,12,45
dish1,7,80
dish3,1,45
dish1,3,90
dish7,1,85
dish8,4,50
dish3,2,45
dish3,2,90
dish6,5,40
dish2,5,65
dish2,9,85
dish6,7,85
dish3,1,90
dish5,2,55
dish5,2,65
dish3,5,30
dish5,9,30
dish2,4,45
dish7,10,90
dish8,9,55
dish1,5,30
